Run,Epoch,Train Loss,Train Acc,Val Loss,Val Acc
RUN 1,1,0.2115,0.9233,0.1586,0.9528
RUN 1,2,0.0901,0.9728,0.1018,0.978
RUN 1,3,0.0833,0.9745,0.1308,0.9608
RUN 1,4,0.0157,0.9978,0.1439,0.9615
RUN 1,5,0.0082,0.9995,0.1439,0.9718
RUN 1,6,0.0023,1.0,0.1088,0.9765
RUN 1,7,0.0012,1.0,0.0924,0.979
RUN 1,8,0.0006,1.0,0.1573,0.9655
RUN 1,9,0.0005,1.0,0.163,0.9618
RUN 1,10,0.0004,1.0,0.1331,0.97
RUN 1,11,0.0004,1.0,0.2116,0.9498
RUN 1,12,0.0003,1.0,0.2393,0.9405
RUN 1,13,0.0002,1.0,0.1647,0.9625
RUN 1,14,0.0002,1.0,0.2016,0.9498
RUN 1,15,0.0002,1.0,0.2464,0.9458
RUN 1,16,0.0001,1.0,0.2749,0.937
RUN 1,17,0.0001,1.0,0.1924,0.9543
RUN 1,18,0.0001,1.0,0.3091,0.9298
RUN 1,19,0.0001,1.0,0.4096,0.9248
RUN 1,20,0.0001,1.0,0.3072,0.9365
RUN 1,21,0.0001,1.0,0.3373,0.9285
RUN 1,22,0.0001,1.0,0.3729,0.9203
RUN 2,1,0.2153,0.92,0.1298,0.9675
RUN 2,2,0.0844,0.9725,0.1492,0.9548
RUN 2,3,0.0625,0.9823,0.1105,0.9753
RUN 2,4,0.0156,0.9975,0.1118,0.9788
RUN 2,5,0.0061,0.9993,0.1212,0.9723
RUN 2,6,0.0033,0.9998,0.122,0.9743
RUN 2,7,0.0028,1.0,0.1122,0.9773
RUN 2,8,0.0009,1.0,0.1064,0.9815
RUN 2,9,0.0007,1.0,0.1338,0.9765
RUN 2,10,0.0005,1.0,0.1725,0.9685
RUN 2,11,0.0004,1.0,0.1461,0.9718
RUN 2,12,0.0003,1.0,0.1237,0.9718
RUN 2,13,0.0003,1.0,0.1582,0.9695
RUN 2,14,0.0002,1.0,0.1399,0.9703
RUN 2,15,0.0002,1.0,0.233,0.953
RUN 2,16,0.0002,1.0,0.156,0.9725
RUN 2,17,0.0001,1.0,0.1683,0.965
RUN 2,18,0.0001,1.0,0.191,0.956
RUN 2,19,0.0001,1.0,0.1861,0.9633
RUN 2,20,0.0001,1.0,0.3516,0.9323
RUN 2,21,0.0001,1.0,0.302,0.942
RUN 2,22,0.0001,1.0,0.2539,0.953
RUN 2,23,0.0001,1.0,0.2278,0.9573
