Epoch,Train Loss,Train Acc (%),Val Loss,Val Acc (%),Gap (Train-Val),Overfitting
1,0.2115,92.33,0.1586,95.28,0.0529,OVERFITTING
2,0.0901,97.28,0.1018,97.8,-0.0117,BON
3,0.0833,97.45,0.1308,96.08,-0.0475,BON
4,0.0157,99.78,0.1439,96.15,-0.1282,BON
5,0.0082,99.95,0.1439,97.18,-0.1357,BON
6,0.0023,100.0,0.1088,97.65,-0.1065,BON
7,0.0012,100.0,0.0924,97.9,-0.0912,BON
8,0.0006,100.0,0.1573,96.55,-0.1567,BON
9,0.0005,100.0,0.163,96.18,-0.1625,BON
10,0.0004,100.0,0.1331,97.0,-0.1327,BON
11,0.0004,100.0,0.2116,94.98,-0.2112,BON
12,0.0003,100.0,0.2393,94.05,-0.239,BON
13,0.0002,100.0,0.1647,96.25,-0.1645,BON
14,0.0002,100.0,0.2016,94.98,-0.2014,BON
15,0.0002,100.0,0.2464,94.58,-0.2462,BON
16,0.0001,100.0,0.2749,93.7,-0.2748,BON
17,0.0001,100.0,0.1924,95.43,-0.1923,BON
18,0.0001,100.0,0.3091,92.98,-0.309,BON
19,0.0001,100.0,0.4096,92.48,-0.4095,BON
20,0.0001,100.0,0.3072,93.65,-0.3071,BON
21,0.0001,100.0,0.3373,92.85,-0.3372,BON
22,0.0001,100.0,0.3729,92.03,-0.3728,BON
